LLM_Input
"The Apple 13-inch MacBook Air (M1 CPU) 256GB - 2020 (Workplace) has a total estimated carbon footprint of 161.0 kgCO₂eq over its 3.0 years of use. About 15.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 76.00% to the total emissions. The device weighs nan kg and has nanGB RAM, SSD 256GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple iPhone 13 Pro Max 128GB (Workplace) has a total estimated carbon footprint of 74.0 kgCO₂eq over its 3.0 years of use. About 15.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 80.00% to the total emissions. The device weighs nan kg and has nanGB RAM, 128GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple iPhone 13 Pro Max 1TB (Workplace) has a total estimated carbon footprint of 117.0 kgCO₂eq over its 3.0 years of use. About 15.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 80.00% to the total emissions. The device weighs nan kg and has nanGB RAM, 1TB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple iPhone 13 Pro Max 256GB (Workplace) has a total estimated carbon footprint of 81.0 kgCO₂eq over its 3.0 years of use. About 15.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 80.00% to the total emissions. The device weighs nan kg and has nanGB RAM, 256GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple iPhone 13 Pro Max 512GB (Workplace) has a total estimated carbon footprint of 93.0 kgCO₂eq over its 3.0 years of use. About 15.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 80.00% to the total emissions. The device weighs nan kg and has nanGB RAM, 512GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple iPhone 13 with 128GB (Workplace) has a total estimated carbon footprint of 64.0 kgCO₂eq over its 3.5 years of use. About 16.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 81.00% to the total emissions. The device weighs nan kg and has nanGB RAM, 128GB SSD storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple iPhone 14 Plus with 128GB (Workplace) has a total estimated carbon footprint of 68.0 kgCO₂eq over its 3.5 years of use. About 18.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 78.00% to the total emissions. The device weighs nan kg and has nanGB RAM, 128GB SSD storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple iPhone 14 Pro Max with 128GB (Workplace) has a total estimated carbon footprint of 73.0 kgCO₂eq over its 3.5 years of use. About 17.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 79.00% to the total emissions. The device weighs nan kg and has nanGB RAM, 128GB SSD storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple iPhone 14 Pro with 128GB (Workplace) has a total estimated carbon footprint of 65.0 kgCO₂eq over its 3.5 years of use. About 15.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 81.00% to the total emissions. The device weighs nan kg and has nanGB RAM, 128GB SSD storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple iPhone 14 with 128GB (Workplace) has a total estimated carbon footprint of 61.0 kgCO₂eq over its 3.5 years of use. About 18.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 79.00% to the total emissions. The device weighs nan kg and has nanGB RAM, 128GB SSD storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple iPhone 8 256GB (Workplace) has a total estimated carbon footprint of 71.0 kgCO₂eq over its 3.0 years of use. About 16.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 80.00% to the total emissions. The device weighs nan kg and has nanGB RAM, 256GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple iPhone 8 64GB (Workplace) has a total estimated carbon footprint of 57.0 kgCO₂eq over its 3.0 years of use. About 16.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 80.00% to the total emissions. The device weighs nan kg and has nanGB RAM, 64GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple iPhone SE - Gen 2 128GB (Workplace) has a total estimated carbon footprint of 62.0 kgCO₂eq over its 3.0 years of use. About 12.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 84.00% to the total emissions. The device weighs nan kg and has nanGB RAM, 128GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple iPhone SE - Gen 2 256GB (Workplace) has a total estimated carbon footprint of 73.0 kgCO₂eq over its 3.0 years of use. About 12.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 84.00% to the total emissions. The device weighs nan kg and has nanGB RAM, 256GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple iPhone SE - Gen 2 64GB (Workplace) has a total estimated carbon footprint of 57.0 kgCO₂eq over its 3.0 years of use. About 12.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 84.00% to the total emissions. The device weighs nan kg and has nanGB RAM, 64GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple iPhone SE (3rd generation) with 64GB (Workplace) has a total estimated carbon footprint of 46.0 kgCO₂eq over its 3.5 years of use. About 13.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 82.00% to the total emissions. The device weighs nan kg and has nanGB RAM, 64GB SSD storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple iPod touch (7th generation) (Home) has a total estimated carbon footprint of 32.0 kgCO₂eq over its 3.0 years of use. About nan% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes nan% to the total emissions. The device weighs nan kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple Mac mini (M1 2020) with 256GB (Workplace) has a total estimated carbon footprint of 172.0 kgCO₂eq over its 3.5 years of use. About 39.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 54.00% to the total emissions. The device weighs nan kg and has nanGB RAM, 256GB SSD storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple Mac mini with M2 with 256GB (Workplace) has a total estimated carbon footprint of 112.0 kgCO₂eq over its 3.5 years of use. About 36.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 63.00% to the total emissions. The device weighs nan kg and has nanGB RAM, 256GB SSD storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple Mac Pro (2.5GHz 28-core CPU and Radeon Pro Vega II Duo GPU and Afterburner card) with 1.5TB memory 4TB storage - 2019 (Workplace) has a total estimated carbon footprint of 6994.0 kgCO₂eq over its 5.0 years of use. About 67.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 26.00% to the total emissions. The device weighs nan kg and has nanGB RAM, SSD 1.5TB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple Mac Pro (3.5GHz 8-core CPU and Radeon Pro 580X GPU) with 32GB memory 256GB storage - 2019 (Workplace) has a total estimated carbon footprint of 2765.0 kgCO₂eq over its 5.0 years of use. About 67.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 26.00% to the total emissions. The device weighs nan kg and has nanGB RAM, SSD 256GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple Mac Pro 3 (Workplace) has a total estimated carbon footprint of 2765.0 kgCO₂eq over its 4.0 years of use. About 67.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 26.00% to the total emissions. The device weighs nan kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple Mac Studio with Apple M1 Max 32GB memory and 512GB (Workplace) has a total estimated carbon footprint of 262.0 kgCO₂eq over its 3.5 years of use. About 34.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 63.00% to the total emissions. The device weighs nan kg and has nanGB RAM, 32GB SSD storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple MacBook Air (M1 2020) with 256GB (Workplace) has a total estimated carbon footprint of 161.0 kgCO₂eq over its 3.5 years of use. About 15.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 76.00% to the total emissions. The device weighs nan kg and has nanGB RAM, 256GB SSD storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Apple MacBook Air (M2 2022) with 256GB (Workplace) has a total estimated carbon footprint of 147.0 kgCO₂eq over its 3.5 years of use. About 22.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 69.00% to the total emissions. The device weighs nan kg and has nanGB RAM, 256GB SSD storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
